source,destination,weight,line
Elephant & Castle, Lambeth North, 3, Bakerloo
Lambeth North, Waterloo, 2, Bakerloo
Waterloo, Embankment, 2, Bakerloo
Embankment, Charing Cross, 2, Bakerloo
Charing Cross, Piccadilly Circus, 2, Bakerloo
Piccadilly Circus, Oxford Circus, 2, Bakerloo
Oxford Circus, Regent's Park, 2, Bakerloo
Regent's Park, Baker Street, 2, Bakerloo
Baker Street, Marylebone, 1, Bakerloo
Marylebone, Edgware Road, 1, Bakerloo
Edgware Road, Paddington, 2, Bakerloo
Paddington, Warwick Avenue, 2, Bakerloo
Warwick Avenue, Maida Vale, 2, Bakerloo
Maida Vale, Kilburn Park, 2, Bakerloo
Kilburn Park, Queens Park, 2, Bakerloo
Queens Park, Kensal Green, 3, Bakerloo
Kensal Green, Wilesden Junction, 3, Bakerloo
Wilesden Junction, Harlesden, 2, Bakerloo
Harlesden, Stonebridge Park, 2, Bakerloo
Stonebridge Park, Wembley Central, 3, Bakerloo
Wembley Central, North Wembley, 2, Bakerloo
North Wembley, South Kenton, 2, Bakerloo
South Kenton, Kenton, 2, Bakerloo
Kenton, Harrow & Wealdstone, 1, Bakerloo
West Ruislip, Ruislip Gardens, 3, Central
Ruislip Gardens, South Ruislip, 1, Central
South Ruislip, Northolt, 3, Central
Northolt, Greenford, 2, Central
Greenford, Perivale, 2, Central
Perivale, Hanger Lane, 3, Central
Ealing Broadway, West Acton, 2, Central
West Acton, North Acton, 2, Central
Hanger Lane, North Acton, 3, Central
North Acton, East Acton, 3, Central
East Acton, White City, 3, Central
White City, Shepherds Bush, 3, Central
Shepherds Bush, Holland Park, 2, Central
Holland Park, Notting Hill Gate, 2, Central
Notting Hill Gate, Queensway, 2, Central
Queensway, Lancaster Gate, 2, Central
Lancaster Gate, Marble Arch, 3, Central
Marble Arch, Bond Street, 2, Central
Bond Street, Oxford Circus, 2, Central
Oxford Circus,Tottenham Court Road, 1, Central
Tottenham Court Road, Holborn, 2, Central
Holborn, Chancery Lane, 2, Central
Chancery Lane, St. Paul's, 1, Central
St. Paul's, Bank, 2, Central
Bank, Liverpool Street, 3, Central
Liverpool Street, Bethnal Green, 3, Central
Bethnal Green, Mile End, 2, Central
Mile End, Stratford, 3, Central
Stratford, Leyton, 3, Central
Leyton, Leytonstone, 2, Central
Leytonstone, Wanstead, 2, Central
Wanstead, Redbridge, 2, Central
Redbridge, Gants Hill, 2, Central
Gants Hill, Newbury Park, 3, Central
Newbury Park, Barkingside, 2, Central
Barkingside, Fairlop, 2, Central
Fairlop, Hainault, 2, Central
Hainault, Grange Hill, 2, Central
Grange Hill, Chigwell, 2, Central
Chigwell, Roding Valley, 3, Central
Roding Valley, Woodford, 2, Central
Leytonstone, Snaresbrook, 2, Central
Snaresbrook, South Woodford, 2, Central
South Woodford, Woodford, 2, Central
Woodford, Buckhurst Hill, 2, Central
Buckhurst Hill, Loughton,3, Central
Loughton, Debden, 2, Central
Debden, Theydon Bois, 4, Central
Theydon Bois, Epping, 3, Central
Hammersmith, Goldhawk Road, 2, Circle
Goldhawk Road, Shepherd's Bush Market, 1, Circle
Shepherd's Bush Market, Wood Lane, 1, Circle
Wood Lane, Latimer Road, 2, Circle
Latimer Road, Ladbroke Grove, 1, Circle
Ladbroke Grove, Westbourne Park, 2, Circle
Westbourne Park, Royal Oak, 2, Circle
Royal Oak, Paddington, 1, Circle
Paddington, Edgware Road, 4, Circle
Edgware Road, Baker Street, 3, Circle
Baker Street, Great Portland Street, 2, Circle
Great Portland Street, Euston Square, 1, Circle
Euston Square, King's Cross St Pancras, 2, Circle
King's Cross St Pancras, Farringdon, 3, Circle
Farringdon, Barbican, 1, Circle
Barbican, Moorgate, 2, Circle
Moorgate, Liverpool Street, 2, Circle
Liverpool Street, Aldgate, 3, Circle
Aldgate, Tower Hill, 3, Circle
Tower Hill, Monument, 1, Circle
Monument, Cannon Street, 2, Circle
Cannon Street, Mansion House, 1, Circle
Mansion House, Blackfriars, 2, Circle
Blackfriars, Temple, 1, Circle
Temple, Embankment, 2, Circle
Embankment, Westminster, 1, Circle
Westminster, St James's Park, 2, Circle 
St James's Park, Victoria, 2, Circle
Victoria, Sloane Square, 2, Circle
Sloane Square, South Kensington, 2, Circle
South Kensington, Gloucester Road, 3, Circle
Gloucester Road, High Street Kensington, 1, Circle
High Street Kensington, Notting Hill Gate, 2, Circle
Notting Hill Gate, Bayswater, 2, Circle
Bayswater, Paddington, 1, Circle
Paddington, Edgware Road, 3, Circle
Richmond, Kew Gardens, 3, District
Kew Gardens, Gunnersbury, 3, District
Gunnersbury, Turnham Green,3, District
Ealing Broadway, Ealing Common, 3, District
Ealing Common, Acton Town, 3, District
Acton Town, Chiswick Park, 2, District
Chiswick Park, Turnham Green, 2, District
Wimbledon, Wimbledon Park, 2, District
Wimbledon Park, Southfields, 3, District
Southfields, East Putney, 2, District
East Putney, Putney Bridge, 3, District
Putney Bridge, Parsons Green, 2, District
Parsons Green, Fulham Broadway, 1, District
Fulham Broadway, West Brompton, 2, District
West Brompton, Earl's Court, 4, District
Kensington (Olympia), Earl's Court, 3, District
